time,solar,ev_demand,battery,action
2026-02-05T15:46:07.099166,13090.282196080434,9.751746340244727,33.09028219608044,store
2026-02-05T16:46:07.099166,13090.28219608043,11.481994681712722,46.18056439216087,store
2026-02-05T17:46:07.099166,13090.282196080434,13.185680674054561,50.0,store
2026-02-05T18:46:07.099166,13090.282196080434,11.567218998717376,50.0,store
2026-02-05T19:46:07.099166,13090.28219608043,15.758724233662477,48.42412757663375,charge
2026-02-05T20:46:07.099166,13090.28219608043,14.56388999293198,50.0,store
2026-02-05T21:46:07.099166,13090.28219608043,14.174780792619602,50.0,store
2026-02-05T22:46:07.099166,13090.282196080434,18.86946309024431,50.0,store
2026-02-05T23:46:07.099166,13090.282196080434,13.45578248046445,50.0,store
2026-02-06T00:46:07.099166,13090.282196080436,23.963000122850996,50.0,store
2026-02-06T01:46:07.099166,13090.282196080436,15.215772063492052,50.0,store
2026-02-06T02:46:07.099166,13090.282196080429,5.859120000000002,50.0,store
2026-02-06T03:46:07.099166,13090.28219608043,20.71726666666664,50.0,store
2026-02-06T04:46:07.099166,13090.28219608043,14.790383333333317,50.0,store
2026-02-06T05:46:07.099166,13090.282196080434,13.816315346320337,50.0,store
2026-02-06T06:46:07.099166,13090.28219608043,11.977919525197024,50.0,store
2026-02-06T07:46:07.099166,13090.282196080429,21.432247625707625,50.0,store
2026-02-06T08:46:07.099166,13090.282196080434,11.990590835721749,50.0,store
2026-02-06T09:46:07.099166,13090.282196080434,11.661212066699639,50.0,store
2026-02-06T10:46:07.099166,13090.282196080429,10.124918020614876,50.0,store
2026-02-06T11:46:07.099166,13090.282196080436,8.275519355546752,50.0,store
2026-02-06T12:46:07.099166,13090.282196080429,6.216972604516911,50.0,store
2026-02-06T13:46:07.099166,13090.282196080434,9.326392017877048,50.0,store
2026-02-06T14:46:07.099166,13090.282196080434,10.805247847215865,50.0,store
